Catégorie : Toutes catégories

Mois,flu: (Californie),fever: (Californie),migraine: (Californie),congestion: (Californie),sickness: (Californie)
2004-01,9,8,2,1,2
2004-02,7,8,2,1,2
2004-03,3,10,2,2,3
2004-04,2,9,2,1,2
2004-05,2,8,2,1,2
2004-06,2,8,2,1,3
2004-07,2,7,2,1,3
2004-08,2,8,2,1,3
2004-09,5,8,2,1,2
2004-10,32,7,3,1,2
2004-11,11,8,2,1,3
2004-12,9,8,2,1,3
2005-01,8,9,2,1,3
2005-02,11,9,2,1,3
2005-03,6,10,2,1,2
2005-04,5,11,2,1,3
2005-05,4,10,2,1,2
2005-06,3,8,2,1,3
2005-07,3,8,2,1,3
2005-08,4,8,2,1,3
2005-09,9,8,2,1,3
2005-10,30,9,2,1,2
2005-11,27,9,2,1,3
2005-12,17,10,2,1,3
2006-01,13,9,2,1,2
2006-02,11,9,2,1,3
2006-03,13,10,2,1,3
2006-04,9,9,2,1,3
2006-05,11,10,2,1,3
2006-06,6,8,2,1,3
2006-07,4,8,2,1,3
2006-08,4,8,2,1,2
2006-09,5,8,2,1,2
2006-10,17,9,2,1,2
2006-11,15,8,2,1,2
2006-12,9,9,2,1,2
2007-01,10,11,2,1,3
2007-02,9,12,2,1,2
2007-03,5,11,2,1,3
2007-04,3,9,2,1,3
2007-05,3,9,2,1,3
2007-06,3,8,2,1,3
2007-07,3,8,2,1,2
2007-08,2,8,2,1,2
2007-09,4,8,2,1,2
2007-10,13,8,2,1,2
2007-11,11,8,2,1,2
2007-12,7,8,1,1,2
2008-01,8,9,2,1,2
2008-02,11,11,2,1,2
2008-03,7,9,2,1,2
2008-04,4,9,2,1,2
2008-05,3,9,2,1,2
2008-06,2,8,1,1,2
2008-07,2,7,2,1,2
2008-08,2,7,2,1,2
2008-09,4,7,2,1,2
2008-10,11,7,2,1,2
2008-11,10,7,2,1,2
2008-12,7,7,1,1,2
2009-01,6,8,1,1,2
2009-02,6,9,2,1,2
2009-03,5,8,2,1,2
2009-04,100,8,2,1,2
2009-05,61,9,1,1,2
2009-06,17,8,2,1,2
2009-07,14,7,2,1,2
2009-08,20,7,1,1,2
2009-09,34,8,2,1,2
2009-10,67,10,2,1,2
2009-11,44,9,1,1,2
2009-12,16,8,1,1,2
2010-01,9,8,2,1,2
2010-02,6,8,1,1,2
2010-03,4,7,1,1,2
2010-04,3,8,2,1,2
2010-05,3,8,2,1,2
2010-06,2,8,1,1,2
2010-07,2,7,1,1,2
2010-08,3,6,1,1,2
2010-09,6,7,1,1,2
2010-10,8,7,1,1,2
2010-11,6,9,1,1,2
2010-12,5,6,1,1,2
2011-01,9,13,2,2,3
2011-02,10,15,3,2,3
2011-03,7,13,2,1,3
2011-04,5,12,2,1,3
2011-05,4,11,2,1,3
2011-06,4,11,2,1,3
2011-07,3,10,2,1,3
2011-08,4,10,2,1,3
2011-09,7,11,2,1,3
2011-10,12,11,2,1,3
2011-11,9,10,2,1,3
2011-12,9,11,2,2,3
2012-01,8,11,2,2,3
2012-02,9,13,2,2,3
2012-03,8,13,2,2,3
2012-04,5,12,2,1,3
2012-05,4,11,2,1,3
2012-06,4,11,2,1,3
2012-07,3,10,2,1,3
2012-08,4,10,2,1,4
2012-09,9,11,2,1,3
2012-10,14,13,2,1,3
2012-11,12,12,2,2,3
2012-12,12,12,2,2,3
2013-01,45,16,2,2,3
2013-02,17,15,2,2,3
2013-03,10,13,2,2,3
2013-04,7,12,2,2,3
2013-05,5,13,2,1,3
2013-06,4,11,2,1,3
2013-07,3,11,3,1,3
2013-08,4,11,3,1,3
2013-09,10,11,3,1,3
2013-10,15,11,3,2,3
2013-11,12,11,3,2,3
2013-12,13,13,2,2,3
2014-01,38,16,3,2,3
2014-02,14,14,3,2,3
2014-03,7,13,3,2,3
2014-04,6,13,3,1,3
2014-05,5,12,3,1,3
2014-06,4,12,3,1,3
2014-07,4,11,3,1,3
2014-08,4,11,3,1,3
2014-09,10,11,3,1,3
2014-10,18,13,3,1,3
2014-11,12,11,3,2,3
2014-12,14,13,2,2,3
2015-01,21,17,3,3,3
2015-02,12,16,3,3,3
2015-03,9,17,3,2,3
2015-04,9,14,3,2,3
2015-05,6,14,3,2,3
2015-06,4,12,3,1,3
2015-07,4,12,3,1,4
2015-08,4,12,3,1,3
2015-09,9,12,3,1,3
2015-10,15,13,3,2,3
2015-11,13,13,3,2,3
2015-12,13,14,3,2,3
2016-01,12,15,3,2,3
2016-02,13,19,3,3,3
2016-03,10,16,3,2,3
2016-04,7,14,3,2,3
2016-05,7,13,3,2,3
2016-06,5,13,3,1,3
2016-07,4,12,3,1,3
2016-08,5,11,3,1,3
2016-09,11,12,3,2,3
2016-10,15,12,3,2,3
2016-11,11,12,3,2,3
2016-12,12,14,3,2,3
2017-01,16,16,3,3,3
2017-02,12,16,3,2,3
2017-03,8,16,3,2,3
2017-04,8,16,3,2,3
2017-05,7,15,3,2,3
2017-06,5,14,3,1,3
2017-07,4,13,3,1,3
2017-08,5,12,3,1,3
2017-09,11,15,3,2,3
2017-10,16,14,3,2,3
2017-11,14,14,3,2,3
2017-12,23,20,3,3,3
2018-01,65,21,3,3,3
2018-02,37,19,3,3,3
2018-03,16,16,3,2,3
2018-04,9,15,3,2,3
2018-05,6,15,3,2,3
2018-06,5,13,3,2,3
2018-07,4,12,3,1,3
2018-08,6,11,3,1,3
2018-09,14,13,3,2,3
2018-10,22,13,3,2,3
2018-11,17,13,3,2,3
2018-12,16,14,3,3,4
2019-01,19,16,3,3,3
2019-02,16,18,3,3,3
2019-03,15,17,3,3,3
2019-04,9,16,3,3,3
2019-05,7,15,3,2,3
2019-06,6,14,3,2,3
2019-07,5,12,4,1,3
2019-08,7,12,3,1,3
2019-09,16,13,3,2,3
2019-10,23,13,3,2,3
2019-11,19,14,3,2,3
2019-12,21,18,3,3,3
2020-01,37,21,4,3,4
2020-02,41,21,4,3,3
2020-03,93,32,3,3,4
2020-04,43,21,3,2,3
2020-05,22,14,3,1,3
2020-06,13,15,3,1,3
2020-07,18,17,4,2,3
2020-08,15,13,3,1,3
2020-09,29,13,3,1,3
2020-10,32,13,3,2,3
2020-11,21,14,3,2,2
2020-12,22,18,3,3,3
2021-01,14,16,3,2,3
2021-02,10,14,3,2,3
2021-03,8,13,3,2,3
2021-04,8,14,3,2,3
2021-05,6,14,3,2,3
2021-06,9,13,3,2,3
2021-07,8,15,3,3,3
2021-08,12,17,3,3,3
2021-09,20,17,3,3,3
2021-10,24,16,3,3,3
2021-11,18,15,3,3,3
2021-12,18,19,3,4,3
2022-01,18,27,4,5,4
2022-02,8,14,4,3,3
2022-03,8,13,4,3,3
2022-04,10,15,4,3,4
2022-05,10,19,3,3,4
