Catégorie : Toutes catégories

Mois,flu: (Californie),difficulty breathing: (Californie),sneezing: (Californie),dry cough: (Californie),difficulty sleeping: (Californie)
2004-01,9,0,< 1,0,0
2004-02,7,0,< 1,0,0
2004-03,3,0,0,0,0
2004-04,2,0,< 1,< 1,0
2004-05,2,0,1,0,0
2004-06,2,0,< 1,0,0
2004-07,2,0,1,0,0
2004-08,2,0,1,0,0
2004-09,5,< 1,< 1,0,0
2004-10,32,0,< 1,< 1,0
2004-11,11,0,< 1,0,0
2004-12,9,0,1,< 1,0
2005-01,8,0,< 1,< 1,0
2005-02,11,0,< 1,< 1,0
2005-03,6,0,1,0,0
2005-04,5,0,1,0,0
2005-05,4,0,< 1,0,0
2005-06,3,0,1,0,0
2005-07,3,0,< 1,0,0
2005-08,4,0,< 1,< 1,0
2005-09,9,0,1,0,0
2005-10,30,0,1,< 1,0
2005-11,27,0,1,< 1,0
2005-12,17,0,1,< 1,0
2006-01,13,0,1,0,0
2006-02,11,0,< 1,< 1,0
2006-03,13,0,1,< 1,0
2006-04,9,0,< 1,< 1,0
2006-05,11,0,1,< 1,0
2006-06,6,< 1,1,< 1,0
2006-07,4,0,< 1,0,0
2006-08,4,< 1,< 1,0,0
2006-09,5,0,< 1,< 1,0
2006-10,17,< 1,1,< 1,0
2006-11,15,0,< 1,< 1,0
2006-12,9,< 1,1,< 1,0
2007-01,10,0,1,< 1,0
2007-02,9,0,1,< 1,0
2007-03,5,0,< 1,< 1,0
2007-04,3,0,1,< 1,0
2007-05,3,< 1,1,< 1,0
2007-06,3,< 1,1,< 1,0
2007-07,3,< 1,1,0,0
2007-08,2,< 1,1,< 1,0
2007-09,4,0,1,< 1,0
2007-10,13,< 1,1,< 1,0
2007-11,11,< 1,1,< 1,0
2007-12,7,0,1,< 1,0
2008-01,8,< 1,1,< 1,0
2008-02,11,< 1,1,< 1,0
2008-03,7,< 1,1,< 1,0
2008-04,4,0,1,< 1,0
2008-05,3,< 1,1,< 1,0
2008-06,2,< 1,1,< 1,0
2008-07,2,< 1,1,< 1,0
2008-08,2,< 1,< 1,< 1,0
2008-09,4,< 1,1,< 1,0
2008-10,11,< 1,< 1,< 1,0
2008-11,10,< 1,1,< 1,0
2008-12,7,< 1,1,< 1,0
2009-01,6,< 1,1,< 1,0
2009-02,6,< 1,1,< 1,0
2009-03,5,< 1,1,< 1,0
2009-04,100,< 1,1,< 1,0
2009-05,61,< 1,1,< 1,0
2009-06,17,< 1,1,< 1,0
2009-07,14,< 1,1,< 1,0
2009-08,20,< 1,< 1,< 1,0
2009-09,34,< 1,1,< 1,0
2009-10,67,< 1,1,< 1,0
2009-11,44,< 1,1,< 1,0
2009-12,16,< 1,1,< 1,0
2010-01,9,< 1,1,< 1,0
2010-02,6,< 1,1,< 1,0
2010-03,4,< 1,1,< 1,0
2010-04,3,< 1,1,< 1,0
2010-05,3,< 1,1,< 1,0
2010-06,2,< 1,1,< 1,0
2010-07,2,< 1,1,< 1,0
2010-08,3,< 1,< 1,< 1,0
2010-09,6,< 1,< 1,< 1,0
2010-10,8,< 1,1,< 1,0
2010-11,6,< 1,1,< 1,0
2010-12,5,< 1,1,< 1,0
2011-01,9,< 1,1,1,0
2011-02,10,< 1,1,1,0
2011-03,7,< 1,1,1,0
2011-04,5,< 1,1,1,0
2011-05,4,< 1,1,< 1,0
2011-06,4,< 1,1,< 1,0
2011-07,3,< 1,1,< 1,0
2011-08,4,< 1,1,< 1,0
2011-09,7,< 1,1,< 1,0
2011-10,12,< 1,1,< 1,0
2011-11,9,< 1,1,< 1,0
2011-12,9,< 1,1,1,0
2012-01,8,< 1,1,1,0
2012-02,9,< 1,1,1,0
2012-03,8,< 1,1,1,0
2012-04,5,< 1,1,< 1,0
2012-05,4,< 1,1,< 1,0
2012-06,4,< 1,1,< 1,0
2012-07,3,< 1,1,< 1,0
2012-08,4,< 1,1,< 1,< 1
2012-09,9,< 1,1,< 1,0
2012-10,14,< 1,1,< 1,< 1
2012-11,12,< 1,1,< 1,0
2012-12,12,< 1,1,1,0
2013-01,45,< 1,1,1,0
2013-02,17,< 1,1,1,0
2013-03,10,< 1,1,1,0
2013-04,7,< 1,1,1,< 1
