Catégorie : Toutes catégories

Mois,flu: (Californie),conjonctivis: (Californie),cyanosis: (Californie),h1n1: (Californie),hygiene: (Californie)
2004-01,9,0,0,0,1
2004-02,7,0,0,0,1
2004-03,3,0,0,0,1
2004-04,2,0,0,0,1
2004-05,2,0,0,0,1
2004-06,2,0,0,0,1
2004-07,2,0,0,0,1
2004-08,2,0,0,0,1
2004-09,5,0,0,0,1
2004-10,32,0,0,0,1
2004-11,11,0,0,0,1
2004-12,9,0,0,0,1
2005-01,8,0,0,0,1
2005-02,11,0,0,0,1
2005-03,6,0,0,0,1
2005-04,5,0,0,0,1
2005-05,4,0,0,0,1
2005-06,3,0,0,0,1
2005-07,3,0,0,0,1
2005-08,4,0,0,0,1
2005-09,9,0,0,0,1
2005-10,30,0,0,0,1
2005-11,27,0,0,0,1
2005-12,17,0,0,0,1
2006-01,13,0,0,0,2
2006-02,11,0,0,0,1
2006-03,13,0,0,0,1
2006-04,9,0,0,0,1
2006-05,11,0,0,0,1
2006-06,6,0,0,0,1
2006-07,4,0,0,0,1
2006-08,4,0,0,0,1
2006-09,5,0,0,0,1
2006-10,17,0,0,0,1
2006-11,15,0,0,0,1
2006-12,9,0,0,0,1
2007-01,10,0,0,0,1
2007-02,9,0,0,0,1
2007-03,5,0,0,0,1
2007-04,3,0,0,0,1
2007-05,3,0,< 1,0,1
2007-06,3,0,0,0,1
2007-07,3,0,0,0,1
2007-08,2,0,< 1,0,1
2007-09,4,0,0,0,1
2007-10,13,0,< 1,0,1
2007-11,11,0,0,0,1
2007-12,7,0,0,0,1
2008-01,8,0,< 1,0,1
2008-02,11,0,< 1,0,1
2008-03,7,0,< 1,0,1
2008-04,4,0,0,0,1
2008-05,3,0,0,0,1
2008-06,2,0,< 1,0,1
2008-07,2,0,0,0,1
2008-08,2,0,< 1,0,1
2008-09,4,0,< 1,0,1
2008-10,11,0,< 1,0,1
2008-11,10,0,< 1,0,1
2008-12,7,0,< 1,0,1
2009-01,6,0,< 1,0,1
2009-02,6,0,< 1,0,1
2009-03,5,0,< 1,0,1
2009-04,100,0,< 1,2,1
2009-05,61,0,< 1,8,1
2009-06,17,0,0,5,1
2009-07,14,0,< 1,6,1
2009-08,20,0,< 1,8,1
2009-09,34,0,< 1,12,1
2009-10,67,0,< 1,36,1
2009-11,44,0,< 1,31,1
2009-12,16,0,< 1,12,1
2010-01,9,0,< 1,6,1
2010-02,6,0,< 1,3,1
2010-03,4,0,< 1,4,1
2010-04,3,0,< 1,5,1
2010-05,3,0,< 1,3,1
2010-06,2,0,< 1,1,1
2010-07,2,0,< 1,1,1
2010-08,3,0,< 1,1,1
2010-09,6,0,< 1,1,1
2010-10,8,0,< 1,1,1
2010-11,6,0,< 1,< 1,1
2010-12,5,0,< 1,< 1,1
2011-01,9,0,< 1,1,1
2011-02,10,0,< 1,1,1
2011-03,7,0,< 1,1,1
2011-04,5,0,< 1,< 1,1
2011-05,4,0,< 1,< 1,1
2011-06,4,0,< 1,< 1,1
2011-07,3,0,< 1,< 1,1
2011-08,4,0,< 1,< 1,1
2011-09,7,0,< 1,< 1,1
2011-10,12,0,< 1,< 1,1
2011-11,9,0,< 1,< 1,1
2011-12,9,0,< 1,< 1,1
2012-01,8,0,< 1,< 1,1
2012-02,9,0,< 1,< 1,1
2012-03,8,0,< 1,< 1,1
2012-04,5,0,< 1,< 1,1
2012-05,4,0,< 1,< 1,1
2012-06,4,0,< 1,< 1,1
2012-07,3,0,< 1,< 1,1
2012-08,4,0,< 1,< 1,1
2012-09,9,0,< 1,< 1,1
2012-10,14,0,< 1,< 1,1
2012-11,12,0,< 1,< 1,1
2012-12,12,0,< 1,< 1,1
2013-01,45,0,< 1,< 1,1
2013-02,17,0,< 1,< 1,1
2013-03,10,0,< 1,< 1,1
2013-04,7,0,< 1,< 1,1
2013-05,5,0,< 1,< 1,1
2013-06,4,0,< 1,< 1,1
2013-07,3,0,< 1,< 1,1
2013-08,4,0,< 1,< 1,1
2013-09,10,0,< 1,< 1,1
2013-10,15,0,< 1,< 1,1
2013-11,12,0,< 1,< 1,1
2013-12,13,0,< 1,< 1,1
2014-01,38,0,< 1,8,1
2014-02,14,0,< 1,3,1
2014-03,7,0,< 1,1,1
2014-04,6,0,< 1,< 1,1
2014-05,5,0,< 1,< 1,1
2014-06,4,0,< 1,< 1,1
2014-07,4,0,< 1,< 1,1
2014-08,4,0,< 1,< 1,1
2014-09,10,0,< 1,< 1,1
2014-10,18,0,< 1,< 1,1
2014-11,12,0,< 1,< 1,1
2014-12,14,0,< 1,< 1,1
2015-01,21,0,< 1,< 1,1
2015-02,12,0,< 1,< 1,1
2015-03,9,0,< 1,< 1,1
2015-04,9,0,< 1,< 1,1
2015-05,6,0,< 1,< 1,1
2015-06,4,0,< 1,< 1,1
2015-07,4,0,< 1,< 1,1
2015-08,4,0,< 1,< 1,1
2015-09,9,0,< 1,< 1,1
2015-10,15,0,< 1,< 1,1
2015-11,13,0,< 1,< 1,1
2015-12,13,0,< 1,< 1,1
2016-01,12,0,< 1,< 1,1
2016-02,13,0,< 1,< 1,1
2016-03,10,0,< 1,< 1,1
2016-04,7,0,< 1,< 1,1
2016-05,7,0,< 1,< 1,1
2016-06,5,0,< 1,< 1,1
2016-07,4,0,< 1,< 1,1
2016-08,5,0,< 1,< 1,1
2016-09,11,0,< 1,< 1,1
2016-10,15,0,< 1,< 1,1
2016-11,11,0,< 1,< 1,1
2016-12,12,0,< 1,< 1,1
2017-01,16,0,< 1,< 1,1
2017-02,12,0,< 1,< 1,1
2017-03,8,0,< 1,< 1,1
2017-04,8,0,< 1,< 1,1
2017-05,7,0,< 1,< 1,1
2017-06,5,0,< 1,< 1,1
2017-07,4,0,< 1,< 1,1
2017-08,5,0,< 1,< 1,1
2017-09,11,0,< 1,< 1,1
2017-10,16,0,< 1,< 1,1
2017-11,14,0,< 1,< 1,1
2017-12,23,0,< 1,< 1,1
2018-01,65,0,< 1,< 1,1
2018-02,37,0,< 1,< 1,1
2018-03,16,0,< 1,< 1,1
2018-04,9,0,< 1,< 1,1
2018-05,6,0,< 1,< 1,1
