Catégorie : Toutes catégories

Mois,flu: (Californie),bronchitis: (Californie),pneumonia: (Californie),flu symptoms: (Californie),headache: (Californie)
2004-01,9,2,3,2,3
2004-02,7,1,3,1,3
2004-03,3,1,3,< 1,3
2004-04,2,1,2,< 1,3
2004-05,2,1,2,< 1,3
2004-06,2,1,2,< 1,3
2004-07,2,1,2,< 1,3
2004-08,2,1,2,< 1,3
2004-09,5,1,2,< 1,3
2004-10,32,1,2,1,3
2004-11,11,1,3,1,3
2004-12,9,2,3,1,3
2005-01,8,2,3,1,3
2005-02,11,2,4,2,3
2005-03,6,2,3,1,3
2005-04,5,2,3,1,3
2005-05,4,1,2,1,3
2005-06,3,1,2,< 1,3
2005-07,3,1,2,< 1,3
2005-08,4,1,2,< 1,3
2005-09,9,1,2,1,3
2005-10,30,1,2,2,3
2005-11,27,2,3,2,3
2005-12,17,2,3,2,3
2006-01,13,2,3,2,3
2006-02,11,2,3,1,3
2006-03,13,2,3,1,3
2006-04,9,1,2,1,3
2006-05,11,1,2,1,3
2006-06,6,1,2,1,3
2006-07,4,1,2,< 1,3
2006-08,4,1,2,< 1,3
2006-09,5,1,2,1,3
2006-10,17,1,2,1,2
2006-11,15,1,3,1,3
2006-12,9,2,2,1,3
2007-01,10,2,3,2,3
2007-02,9,2,3,1,3
2007-03,5,2,3,1,3
2007-04,3,1,2,1,3
2007-05,3,1,2,< 1,3
2007-06,3,1,2,< 1,3
2007-07,3,1,2,< 1,3
2007-08,2,1,2,< 1,3
2007-09,4,1,2,< 1,3
2007-10,13,1,2,1,3
2007-11,11,2,2,1,3
2007-12,7,1,3,1,3
2008-01,8,2,3,1,3
2008-02,11,2,4,2,3
2008-03,7,2,3,1,3
2008-04,4,1,2,1,3
2008-05,3,1,2,< 1,3
2008-06,2,1,2,< 1,3
2008-07,2,1,2,< 1,3
2008-08,2,1,2,< 1,3
2008-09,4,1,2,< 1,3
2008-10,11,1,2,1,3
2008-11,10,1,2,1,3
2008-12,7,1,2,1,3
