Catégorie : Toutes catégories

Semaine,flu: (Californie),shaking shills: (Californie),myalgia: (Californie),irratibility: (Californie),diarrhea: (Californie)
2016-11-20,9,0,< 1,0,7
2016-11-27,10,0,< 1,0,7
2016-12-04,10,0,< 1,0,7
2016-12-11,9,0,< 1,0,7
2016-12-18,11,0,< 1,0,7
2016-12-25,13,0,< 1,0,8
2017-01-01,16,0,0,0,8
2017-01-08,14,0,< 1,0,7
2017-01-15,12,0,< 1,0,7
2017-01-22,11,0,< 1,0,6
2017-01-29,12,0,< 1,0,6
2017-02-05,11,0,< 1,0,7
2017-02-12,10,0,< 1,0,7
2017-02-19,9,0,< 1,0,7
2017-02-26,8,0,< 1,0,6
2017-03-05,8,0,< 1,0,7
2017-03-12,8,0,< 1,0,7
2017-03-19,7,0,< 1,0,7
2017-03-26,7,0,< 1,0,8
2017-04-02,7,0,< 1,0,8
2017-04-09,7,0,< 1,0,8
2017-04-16,7,0,< 1,0,8
2017-04-23,7,0,< 1,0,8
2017-04-30,6,0,< 1,0,7
2017-05-07,7,0,< 1,0,8
2017-05-14,7,0,0,0,9
2017-05-21,6,0,< 1,0,8
2017-05-28,6,0,< 1,0,8
2017-06-04,5,0,< 1,0,8
2017-06-11,5,0,< 1,0,9
2017-06-18,4,0,< 1,0,9
2017-06-25,4,0,< 1,0,9
2017-07-02,4,0,< 1,0,9
2017-07-09,4,0,< 1,0,9
2017-07-16,4,0,< 1,0,10
2017-07-23,4,0,< 1,0,9
2017-07-30,4,0,< 1,0,8
2017-08-06,4,0,< 1,0,8
2017-08-13,5,0,< 1,0,8
2017-08-20,5,0,< 1,0,8
2017-08-27,5,0,< 1,0,8
2017-09-03,7,0,< 1,0,8
2017-09-10,9,0,< 1,0,8
2017-09-17,10,0,< 1,0,8
2017-09-24,14,0,< 1,0,8
2017-10-01,14,0,< 1,0,7
2017-10-08,14,0,< 1,0,7
2017-10-15,13,0,< 1,0,7
2017-10-22,13,0,< 1,0,7
2017-10-29,12,0,< 1,0,7
2017-11-05,12,0,< 1,0,7
2017-11-12,11,0,< 1,0,7
2017-11-19,10,0,< 1,0,8
2017-11-26,11,0,< 1,0,8
2017-12-03,13,0,< 1,0,7
2017-12-10,14,0,< 1,0,8
2017-12-17,21,0,< 1,< 1,10
2017-12-24,36,0,< 1,0,11
2017-12-31,51,0,< 1,0,10
2018-01-07,60,0,< 1,0,9
2018-01-14,59,0,< 1,0,8
2018-01-21,53,0,< 1,0,8
2018-01-28,47,0,< 1,0,8
2018-02-04,40,0,< 1,0,8
2018-02-11,33,0,< 1,0,7
2018-02-18,23,0,< 1,0,8
2018-02-25,19,0,< 1,0,7
2018-03-04,16,0,< 1,0,8
2018-03-11,14,0,< 1,0,8
