Catégorie : Toutes catégories

Semaine,flu: (Californie),fever: (Californie),migraine: (Californie),congestion: (Californie),sickness: (Californie)
2016-11-20,9,9,2,2,2
2016-11-27,10,10,2,2,3
2016-12-04,10,11,2,2,3
2016-12-11,9,11,3,2,3
2016-12-18,11,12,2,2,3
2016-12-25,13,13,2,3,3
2017-01-01,16,14,2,3,3
2017-01-08,14,13,2,3,3
2017-01-15,12,13,2,2,3
2017-01-22,11,13,2,2,3
2017-01-29,12,16,2,2,3
2017-02-05,11,14,3,2,3
2017-02-12,10,12,3,2,3
2017-02-19,9,14,3,2,3
2017-02-26,8,11,3,2,3
2017-03-05,8,11,3,2,3
2017-03-12,8,12,3,2,3
2017-03-19,7,13,3,2,3
2017-03-26,7,13,3,2,3
2017-04-02,7,13,3,2,3
2017-04-09,7,12,3,2,3
2017-04-16,7,13,3,2,3
2017-04-23,7,12,3,2,3
2017-04-30,6,12,3,2,3
2017-05-07,7,12,3,2,3
2017-05-14,7,12,3,2,3
2017-05-21,6,12,3,2,3
2017-05-28,6,12,3,1,3
2017-06-04,5,12,2,1,3
2017-06-11,5,11,3,1,3
2017-06-18,4,11,3,1,3
2017-06-25,4,11,3,1,3
2017-07-02,4,11,3,1,3
2017-07-09,4,10,3,1,3
2017-07-16,4,11,3,1,3
2017-07-23,4,11,3,1,3
2017-07-30,4,10,3,1,3
2017-08-06,4,10,3,1,3
2017-08-13,5,10,3,1,3
2017-08-20,5,11,3,1,3
2017-08-27,5,14,2,1,3
2017-09-03,7,14,2,1,3
2017-09-10,9,11,3,2,3
2017-09-17,10,11,3,2,3
2017-09-24,14,12,3,2,3
2017-10-01,14,10,3,2,2
2017-10-08,14,11,2,2,2
2017-10-15,13,12,3,2,3
2017-10-22,13,11,3,2,3
2017-10-29,12,10,3,2,2
2017-11-05,12,11,3,2,3
2017-11-12,11,12,3,2,3
2017-11-19,10,12,3,2,3
2017-11-26,11,12,3,2,3
2017-12-03,13,12,3,2,2
2017-12-10,14,14,3,2,3
2017-12-17,21,18,3,3,3
2017-12-24,36,26,3,4,4
2017-12-31,51,24,3,4,4
2018-01-07,60,18,3,3,3
2018-01-14,59,17,3,2,3
2018-01-21,53,14,3,2,3
2018-01-28,47,18,3,3,3
2018-02-04,40,18,3,3,3
2018-02-11,33,15,3,2,3
2018-02-18,23,14,3,2,3
2018-02-25,19,14,3,2,3
2018-03-04,16,16,3,2,3
2018-03-11,14,13,3,2,3
