Catégorie : Toutes catégories

Semaine,flu: (Californie),sore throat: (Californie),dyspnea: (Californie),rhinorrhea: (Californie),throwing up: (Californie)
2016-11-20,9,5,< 1,0,3
2016-11-27,10,5,< 1,0,2
2016-12-04,10,5,< 1,< 1,2
2016-12-11,9,5,< 1,0,2
2016-12-18,11,6,< 1,< 1,2
2016-12-25,13,7,< 1,0,3
2017-01-01,16,7,< 1,0,3
2017-01-08,14,6,< 1,< 1,2
2017-01-15,12,5,< 1,0,2
2017-01-22,11,6,< 1,0,2
2017-01-29,12,6,< 1,0,2
2017-02-05,11,5,< 1,< 1,2
2017-02-12,10,6,< 1,< 1,2
2017-02-19,9,6,< 1,< 1,2
2017-02-26,8,6,< 1,0,2
2017-03-05,8,6,< 1,< 1,2
2017-03-12,8,6,< 1,0,2
2017-03-19,7,6,< 1,0,2
2017-03-26,7,6,< 1,0,2
2017-04-02,7,5,< 1,0,2
2017-04-09,7,5,< 1,0,3
2017-04-16,7,5,< 1,0,3
2017-04-23,7,5,< 1,< 1,2
2017-04-30,6,5,< 1,0,2
2017-05-07,7,5,< 1,< 1,3
2017-05-14,7,5,< 1,0,2
2017-05-21,6,5,< 1,< 1,3
2017-05-28,6,5,< 1,0,2
2017-06-04,5,5,< 1,0,2
2017-06-11,5,5,< 1,0,2
2017-06-18,4,4,< 1,0,3
2017-06-25,4,4,< 1,0,3
2017-07-02,4,4,< 1,0,3
2017-07-09,4,4,< 1,0,3
2017-07-16,4,4,< 1,0,2
2017-07-23,4,4,< 1,0,2
2017-07-30,4,3,< 1,0,2
2017-08-06,4,3,< 1,0,2
2017-08-13,5,4,< 1,0,2
2017-08-20,5,4,< 1,0,2
2017-08-27,5,5,< 1,0,2
2017-09-03,7,5,< 1,0,2
2017-09-10,9,4,< 1,0,2
2017-09-17,10,5,< 1,< 1,2
2017-09-24,14,5,< 1,0,2
2017-10-01,14,4,< 1,< 1,2
2017-10-08,14,4,< 1,0,2
2017-10-15,13,4,< 1,< 1,2
2017-10-22,13,4,< 1,0,2
2017-10-29,12,4,< 1,0,3
2017-11-05,12,5,< 1,0,2
2017-11-12,11,5,< 1,< 1,2
2017-11-19,10,6,< 1,0,3
2017-11-26,11,5,< 1,0,2
2017-12-03,13,5,< 1,< 1,3
2017-12-10,14,6,< 1,0,3
2017-12-17,21,8,< 1,0,4
2017-12-24,36,10,< 1,0,4
2017-12-31,51,8,< 1,0,4
2018-01-07,60,6,< 1,0,3
2018-01-14,59,5,< 1,0,3
