Catégorie : Toutes catégories

Semaine,flu: (Californie),chest pain: (Californie),arthralgia: (Californie),fainting: (Californie),pass out: (Californie)
2018-11-18,12,3,< 1,< 1,1
2018-11-25,13,3,< 1,1,1
2018-12-02,13,3,< 1,< 1,1
2018-12-09,12,3,< 1,< 1,1
2018-12-16,13,3,< 1,< 1,1
2018-12-23,16,3,0,1,1
2018-12-30,19,4,< 1,1,1
2019-01-06,21,3,0,1,1
2019-01-13,14,3,< 1,1,1
2019-01-20,13,3,< 1,< 1,1
2019-01-27,14,3,< 1,< 1,1
2019-02-03,12,3,< 1,1,1
2019-02-10,13,3,< 1,1,1
2019-02-17,14,3,< 1,1,1
2019-02-24,14,4,< 1,1,1
2019-03-03,13,3,< 1,1,1
2019-03-10,13,3,< 1,1,1
2019-03-17,13,3,< 1,1,1
2019-03-24,12,3,< 1,1,1
2019-03-31,10,3,< 1,1,1
2019-04-07,9,3,< 1,1,1
2019-04-14,8,3,0,1,1
2019-04-21,7,3,< 1,1,1
2019-04-28,7,3,< 1,1,1
2019-05-05,7,3,< 1,1,1
2019-05-12,6,3,< 1,1,1
2019-05-19,6,3,< 1,1,1
2019-05-26,6,3,0,< 1,1
2019-06-02,6,3,< 1,< 1,1
2019-06-09,5,3,< 1,1,1
2019-06-16,5,3,< 1,1,1
2019-06-23,5,3,< 1,1,1
2019-06-30,4,3,< 1,< 1,1
2019-07-07,5,3,< 1,1,1
2019-07-14,5,3,< 1,1,1
2019-07-21,4,3,< 1,< 1,1
2019-07-28,4,3,< 1,1,1
2019-08-04,5,3,< 1,1,1
2019-08-11,5,3,< 1,1,1
2019-08-18,6,3,< 1,< 1,1
2019-08-25,7,3,< 1,1,1
2019-09-01,8,3,< 1,< 1,1
2019-09-08,10,3,< 1,1,1
2019-09-15,13,3,< 1,< 1,1
2019-09-22,19,3,< 1,1,1
2019-09-29,21,3,< 1,< 1,1
2019-10-06,23,3,< 1,< 1,1
2019-10-13,21,3,< 1,< 1,1
2019-10-20,19,3,< 1,< 1,1
2019-10-27,16,3,< 1,< 1,1
2019-11-03,18,3,< 1,< 1,1
2019-11-10,16,3,0,1,1
2019-11-17,16,3,< 1,< 1,1
2019-11-24,13,3,0,< 1,1
2019-12-01,15,3,< 1,1,1
2019-12-08,17,3,< 1,< 1,1
2019-12-15,18,3,< 1,< 1,1
2019-12-22,22,4,0,< 1,1
2019-12-29,25,4,< 1,1,1
2020-01-05,25,4,< 1,< 1,1
2020-01-12,29,4,< 1,1,1
2020-01-19,35,4,< 1,1,1
2020-01-26,45,3,0,1,1
2020-02-02,37,3,< 1,1,1
2020-02-09,31,3,< 1,1,1
2020-02-16,26,3,< 1,< 1,1
2020-02-23,49,4,< 1,1,1
2020-03-01,63,3,< 1,< 1,1
2020-03-08,100,4,< 1,< 1,1
2020-03-15,93,6,< 1,< 1,1
2020-03-22,75,7,< 1,< 1,1
2020-03-29,60,6,< 1,< 1,1
2020-04-05,46,5,< 1,< 1,1
2020-04-12,33,5,< 1,< 1,1
2020-04-19,32,4,< 1,< 1,1
2020-04-26,28,4,< 1,< 1,1
2020-05-03,22,4,< 1,1,1
2020-05-10,21,4,< 1,1,1
2020-05-17,18,4,< 1,< 1,1
2020-05-24,17,4,< 1,< 1,1
2020-05-31,7,3,< 1,< 1,1
2020-06-07,8,3,< 1,< 1,1
2020-06-14,9,4,< 1,< 1,1
2020-06-21,13,4,< 1,< 1,1
2020-06-28,23,4,< 1,1,1
2020-07-05,14,4,< 1,1,1
2020-07-12,17,4,< 1,< 1,1
2020-07-19,15,4,< 1,1,1
2020-07-26,12,4,0,< 1,1
2020-08-02,13,4,< 1,< 1,1
2020-08-09,14,3,< 1,< 1,1
2020-08-16,12,3,0,< 1,1
2020-08-23,13,3,< 1,< 1,1
2020-08-30,17,3,< 1,< 1,1
2020-09-06,21,3,0,< 1,1
2020-09-13,26,3,< 1,< 1,1
2020-09-20,30,3,< 1,< 1,1
2020-09-27,30,3,< 1,< 1,1
2020-10-04,34,3,< 1,< 1,1
2020-10-11,26,3,< 1,< 1,1
2020-10-18,25,4,< 1,< 1,1
2020-10-25,25,3,< 1,< 1,1
2020-11-01,15,3,< 1,< 1,1
2020-11-08,20,3,< 1,< 1,1
2020-11-15,23,4,< 1,< 1,1
2020-11-22,16,4,0,< 1,1
2020-11-29,20,4,< 1,< 1,1
2020-12-06,20,4,< 1,< 1,1
2020-12-13,20,4,< 1,1,1
2020-12-20,16,4,< 1,1,1
2020-12-27,17,5,< 1,< 1,1
2021-01-03,15,4,< 1,1,1
2021-01-10,12,4,< 1,< 1,1
2021-01-17,11,4,< 1,1,1
2021-01-24,10,4,< 1,< 1,1
2021-01-31,8,4,< 1,1,1
2021-02-07,8,4,< 1,1,1
2021-02-14,8,4,< 1,< 1,1
2021-02-21,9,4,< 1,< 1,1
2021-02-28,8,3,< 1,< 1,1
2021-03-07,7,3,< 1,< 1,1
2021-03-14,7,3,< 1,< 1,1
2021-03-21,7,3,< 1,1,1
2021-03-28,7,3,< 1,1,1
2021-04-04,7,3,< 1,1,1
2021-04-11,7,3,< 1,1,1
2021-04-18,7,3,< 1,1,1
2021-04-25,6,4,< 1,1,1
2021-05-02,6,3,< 1,< 1,1
2021-05-09,6,3,< 1,< 1,1
2021-05-16,6,3,< 1,1,1
2021-05-23,6,3,< 1,< 1,1
2021-05-30,13,3,< 1,< 1,1
2021-06-06,6,4,< 1,< 1,1
2021-06-13,6,3,< 1,< 1,1
2021-06-20,5,3,< 1,1,1
2021-06-27,5,3,< 1,< 1,1
2021-07-04,6,3,< 1,1,1
2021-07-11,7,3,< 1,1,1
2021-07-18,7,3,0,1,1
2021-07-25,8,4,< 1,1,1
2021-08-01,9,4,< 1,1,1
2021-08-08,12,4,< 1,< 1,1
2021-08-15,9,3,< 1,1,1
2021-08-22,11,4,< 1,< 1,1
2021-08-29,12,4,< 1,< 1,1
2021-09-05,13,4,< 1,< 1,1
2021-09-12,16,4,< 1,< 1,1
2021-09-19,18,3,< 1,< 1,1
2021-09-26,22,3,< 1,< 1,1
2021-10-03,22,4,< 1,< 1,1
2021-10-10,21,4,< 1,1,1
2021-10-17,20,3,< 1,< 1,1
2021-10-24,18,3,< 1,< 1,1
2021-10-31,17,3,< 1,< 1,1
2021-11-07,15,3,< 1,< 1,1
2021-11-14,15,3,< 1,< 1,1
2021-11-21,11,3,0,< 1,1
2021-11-28,13,3,0,< 1,1
2021-12-05,11,3,< 1,< 1,1
2021-12-12,13,3,< 1,< 1,1
2021-12-19,14,4,0,< 1,1
2021-12-26,21,4,0,< 1,1
2022-01-02,27,5,< 1,1,1
2022-01-09,18,4,< 1,< 1,1
2022-01-16,12,4,< 1,< 1,1
2022-01-23,9,4,< 1,< 1,1
2022-01-30,8,4,0,1,1
2022-02-06,7,4,< 1,1,1
2022-02-13,7,3,< 1,1,1
2022-02-20,7,4,< 1,< 1,1
2022-02-27,7,4,< 1,< 1,1
2022-03-06,7,3,< 1,< 1,1
2022-03-13,8,3,< 1,1,1
2022-03-20,7,3,< 1,< 1,1
2022-03-27,7,3,< 1,1,1
2022-04-03,8,3,< 1,1,1
2022-04-10,8,3,< 1,1,1
2022-04-17,8,3,< 1,1,1
2022-04-24,9,3,< 1,1,1
2022-05-01,8,3,< 1,< 1,1
2022-05-08,8,3,< 1,< 1,1
