Catégorie : Toutes catégories

Semaine,flu: (Californie),fever: (Californie),migraine: (Californie),congestion: (Californie),sickness: (Californie)
2019-11-24,13,12,2,2,3
2019-12-01,15,12,3,2,3
2019-12-08,17,13,3,2,3
2019-12-15,18,14,3,2,3
2019-12-22,22,18,3,3,4
2019-12-29,25,20,3,3,4
2020-01-05,25,17,3,3,3
2020-01-12,29,17,3,3,3
2020-01-19,35,19,4,3,4
2020-01-26,45,19,3,3,4
2020-02-02,37,18,3,3,3
2020-02-09,31,19,3,3,3
2020-02-16,26,18,4,3,3
2020-02-23,49,18,4,3,3
2020-03-01,63,19,3,3,3
2020-03-08,100,29,3,3,5
2020-03-15,93,38,3,4,4
2020-03-22,75,33,3,3,3
2020-03-29,60,27,3,3,3
2020-04-05,46,21,3,2,3
2020-04-12,33,18,3,2,3
2020-04-19,32,17,3,2,3
2020-04-26,28,14,3,1,2
2020-05-03,22,14,3,1,3
2020-05-10,21,12,3,1,2
2020-05-17,18,12,3,1,3
2020-05-24,17,12,3,1,2
2020-05-31,7,10,3,1,2
2020-06-07,8,11,3,1,2
2020-06-14,9,12,3,1,3
2020-06-21,13,15,4,1,3
2020-06-28,23,18,3,2,3
2020-07-05,14,17,3,2,3
2020-07-12,17,16,3,1,3
2020-07-19,15,15,3,2,3
2020-07-26,12,14,3,2,3
2020-08-02,13,13,3,1,3
2020-08-09,14,11,3,1,3
2020-08-16,12,10,3,1,3
2020-08-23,13,9,3,1,2
2020-08-30,17,11,3,1,3
2020-09-06,21,10,3,1,3
2020-09-13,26,10,3,1,2
2020-09-20,30,10,3,1,3
2020-09-27,30,11,3,1,2
2020-10-04,34,11,3,2,3
2020-10-11,26,12,3,2,3
2020-10-18,25,10,3,2,3
2020-10-25,25,11,3,2,2
2020-11-01,15,10,3,1,2
2020-11-08,20,10,3,2,2
2020-11-15,23,12,3,2,3
2020-11-22,16,13,3,2,2
2020-11-29,20,15,3,3,3
2020-12-06,20,15,3,3,3
2020-12-13,20,15,3,3,3
2020-12-20,16,15,3,3,3
2020-12-27,17,16,3,3,3
2021-01-03,15,15,3,3,3
2021-01-10,12,14,3,3,2
2021-01-17,11,12,3,2,2
2021-01-24,10,10,3,2,2
2021-01-31,8,11,3,2,2
2021-02-07,8,11,3,2,3
2021-02-14,8,11,3,2,2
2021-02-21,9,11,3,2,2
2021-02-28,8,11,3,2,2
