Catégorie : Toutes catégories

Semaine,flu: (Californie),sore throat: (Californie),dyspnea: (Californie),rhinorrhea: (Californie),throwing up: (Californie)
2019-11-24,13,5,< 1,0,3
2019-12-01,15,6,< 1,0,3
2019-12-08,17,6,< 1,< 1,3
2019-12-15,18,7,< 1,< 1,3
2019-12-22,22,8,< 1,0,4
2019-12-29,25,8,< 1,< 1,3
2020-01-05,25,7,< 1,< 1,3
2020-01-12,29,6,< 1,< 1,3
2020-01-19,35,6,< 1,0,3
2020-01-26,45,7,< 1,< 1,3
2020-02-02,37,7,1,< 1,3
2020-02-09,31,7,< 1,< 1,3
2020-02-16,26,7,< 1,< 1,3
2020-02-23,49,7,< 1,< 1,3
2020-03-01,63,8,1,< 1,3
2020-03-08,100,11,1,< 1,3
2020-03-15,93,17,1,< 1,3
2020-03-22,75,14,1,< 1,3
2020-03-29,60,11,1,< 1,3
2020-04-05,46,8,1,< 1,3
2020-04-12,33,6,1,< 1,3
2020-04-19,32,5,1,< 1,3
2020-04-26,28,4,< 1,< 1,3
2020-05-03,22,4,< 1,< 1,3
2020-05-10,21,4,< 1,< 1,3
2020-05-17,18,4,< 1,< 1,3
2020-05-24,17,4,< 1,< 1,3
2020-05-31,7,3,< 1,< 1,3
2020-06-07,8,4,< 1,< 1,3
2020-06-14,9,4,< 1,< 1,3
2020-06-21,13,5,< 1,< 1,3
2020-06-28,23,6,< 1,< 1,3
2020-07-05,14,6,< 1,< 1,3
2020-07-12,17,6,< 1,< 1,3
2020-07-19,15,6,< 1,< 1,3
2020-07-26,12,5,< 1,0,3
2020-08-02,13,5,< 1,< 1,3
2020-08-09,14,4,< 1,0,3
2020-08-16,12,4,< 1,0,2
2020-08-23,13,4,< 1,< 1,2
2020-08-30,17,4,< 1,0,3
2020-09-06,21,4,< 1,0,3
2020-09-13,26,4,< 1,< 1,2
2020-09-20,30,4,1,< 1,2
2020-09-27,30,4,< 1,< 1,3
2020-10-04,34,5,1,0,3
2020-10-11,26,4,< 1,< 1,3
2020-10-18,25,5,1,< 1,3
2020-10-25,25,5,< 1,< 1,3
2020-11-01,15,4,< 1,0,3
2020-11-08,20,5,< 1,< 1,3
2020-11-15,23,6,< 1,< 1,3
2020-11-22,16,6,< 1,< 1,3
2020-11-29,20,6,1,< 1,3
2020-12-06,20,6,1,0,3
2020-12-13,20,6,< 1,0,3
2020-12-20,16,7,< 1,0,3
2020-12-27,17,6,< 1,0,3
2021-01-03,15,6,< 1,0,3
2021-01-10,12,5,< 1,< 1,3
2021-01-17,11,4,< 1,< 1,3
2021-01-24,10,4,< 1,0,3
2021-01-31,8,4,1,0,3
2021-02-07,8,4,1,< 1,3
2021-02-14,8,4,1,< 1,3
2021-02-21,9,4,< 1,< 1,3
2021-02-28,8,4,< 1,< 1,3
2021-03-07,7,4,1,0,3
2021-03-14,7,3,1,0,3
2021-03-21,7,4,1,< 1,3
2021-03-28,7,4,< 1,0,3
2021-04-04,7,4,< 1,0,3
2021-04-11,7,4,< 1,< 1,3
2021-04-18,7,4,< 1,< 1,3
2021-04-25,6,4,< 1,< 1,3
2021-05-02,6,4,1,< 1,3
2021-05-09,6,4,< 1,< 1,3
2021-05-16,6,4,< 1,0,3
2021-05-23,6,4,< 1,< 1,3
2021-05-30,13,5,< 1,< 1,3
2021-06-06,6,5,< 1,< 1,3
2021-06-13,6,4,< 1,< 1,3
2021-06-20,5,5,< 1,< 1,3
2021-06-27,5,5,< 1,0,3
2021-07-04,6,6,< 1,0,4
2021-07-11,7,6,< 1,< 1,3
2021-07-18,7,7,< 1,< 1,3
2021-07-25,8,7,< 1,0,3
2021-08-01,9,7,< 1,0,3
2021-08-08,12,7,< 1,< 1,3
2021-08-15,9,6,< 1,0,3
2021-08-22,11,7,< 1,< 1,3
2021-08-29,12,7,< 1,< 1,3
2021-09-05,13,7,1,0,3
2021-09-12,16,7,< 1,< 1,3
2021-09-19,18,7,< 1,< 1,3
2021-09-26,22,7,< 1,< 1,3
2021-10-03,22,7,< 1,0,3
2021-10-10,21,7,< 1,< 1,3
2021-10-17,20,7,1,< 1,3
2021-10-24,18,7,< 1,0,3
2021-10-31,17,7,< 1,0,3
2021-11-07,15,7,< 1,0,3
2021-11-14,15,7,< 1,0,3
2021-11-21,11,7,< 1,0,3
2021-11-28,13,7,1,< 1,4
2021-12-05,11,6,< 1,0,3
2021-12-12,13,7,< 1,0,3
2021-12-19,14,11,< 1,< 1,4
2021-12-26,21,15,< 1,< 1,4
2022-01-02,27,17,< 1,< 1,4
2022-01-09,18,14,< 1,< 1,3
2022-01-16,12,10,< 1,0,3
