Catégorie : Toutes catégories

Semaine,flu: (Californie),shaking shills: (Californie),myalgia: (Californie),irritability: (Californie),diarrhea: (Californie)
2014-10-26,71,0,1,< 1,34
2014-11-02,68,0,1,1,34
2014-11-09,63,0,1,1,33
2014-11-16,58,0,1,0,32
2014-11-23,46,0,1,0,32
2014-11-30,62,0,< 1,< 1,32
2014-12-07,58,0,1,0,32
2014-12-14,61,0,1,1,32
2014-12-21,75,0,1,0,35
2014-12-28,96,0,1,0,38
2015-01-04,100,0,1,1,35
2015-01-11,100,0,1,0,36
2015-01-18,96,0,1,1,37
2015-01-25,84,0,1,< 1,37
2015-02-01,73,0,1,1,33
2015-02-08,60,0,1,1,33
2015-02-15,59,0,1,1,36
2015-02-22,49,0,1,1,39
2015-03-01,49,0,1,1,40
2015-03-08,47,0,1,1,38
2015-03-15,42,0,1,1,41
2015-03-22,38,0,1,1,44
2015-03-29,38,0,1,0,44
2015-04-05,43,0,1,0,44
2015-04-12,47,0,1,< 1,43
2015-04-19,43,0,1,1,44
2015-04-26,38,0,1,0,40
2015-05-03,32,0,1,1,40
2015-05-10,31,0,1,1,42
2015-05-17,34,0,1,0,39
2015-05-24,33,0,1,0,39
2015-05-31,30,0,1,1,39
2015-06-07,26,0,1,0,37
2015-06-14,21,0,1,1,39
2015-06-21,20,0,1,1,40
2015-06-28,19,0,1,1,40
2015-07-05,19,0,1,1,40
2015-07-12,17,0,1,1,39
2015-07-19,19,0,1,1,39
2015-07-26,17,0,1,1,40
2015-08-02,19,0,1,1,40
2015-08-09,20,0,1,1,39
2015-08-16,20,0,1,1,39
2015-08-23,21,0,1,1,39
2015-08-30,30,0,1,1,36
2015-09-06,32,0,1,1,37
2015-09-13,47,0,1,1,35
2015-09-20,58,0,1,1,37
2015-09-27,71,0,1,1,36
2015-10-04,78,0,1,1,35
2015-10-11,76,0,1,1,35
2015-10-18,80,0,1,1,36
2015-10-25,64,0,1,1,35
2015-11-01,76,0,1,1,34
2015-11-08,72,0,1,0,35
2015-11-15,64,0,1,1,32
2015-11-22,55,0,1,1,37
