Catégorie : Toutes catégories

Semaine,flu: (Californie),fever: (Californie),migraine: (Californie),congestion: (Californie),sickness: (Californie)
2014-10-26,72,65,13,9,14
2014-11-02,68,58,15,8,14
2014-11-09,63,61,13,11,15
2014-11-16,58,55,14,11,13
2014-11-23,46,55,12,10,14
2014-11-30,63,58,13,10,12
2014-12-07,58,60,13,9,14
2014-12-14,61,60,12,11,15
2014-12-21,75,72,11,11,15
2014-12-28,96,73,13,15,17
2015-01-04,100,79,13,14,16
2015-01-11,100,77,14,13,16
2015-01-18,96,81,14,13,15
2015-01-25,84,82,14,14,17
2015-02-01,73,90,14,14,15
2015-02-08,60,73,15,13,14
2015-02-15,59,74,14,14,14
2015-02-22,49,75,13,12,16
2015-03-01,49,72,14,12,16
2015-03-08,47,87,13,10,16
2015-03-15,42,88,13,12,17
2015-03-22,38,80,14,11,16
2015-03-29,38,83,14,10,14
2015-04-05,43,66,14,10,17
2015-04-12,47,74,15,8,16
2015-04-19,43,69,14,10,15
2015-04-26,38,71,13,9,15
2015-05-03,32,66,15,9,15
2015-05-10,31,69,14,8,16
2015-05-17,34,65,13,8,16
2015-05-24,33,66,12,8,15
2015-05-31,30,65,14,8,17
2015-06-07,26,63,15,7,15
2015-06-14,21,59,15,7,15
2015-06-21,20,63,15,7,17
2015-06-28,19,61,14,6,17
2015-07-05,19,57,14,6,17
2015-07-12,17,59,15,5,15
2015-07-19,19,57,15,5,17
2015-07-26,17,60,16,6,19
2015-08-02,19,63,14,5,16
2015-08-09,20,61,15,5,18
2015-08-16,20,59,13,6,17
2015-08-23,21,59,14,6,15
2015-08-30,30,60,14,6,15
2015-09-06,32,65,13,7,16
2015-09-13,47,59,15,8,14
2015-09-20,58,61,14,7,15
2015-09-27,71,60,15,7,14
2015-10-04,78,54,14,8,16
2015-10-11,76,61,14,8,15
2015-10-18,80,59,14,7,15
2015-10-25,64,65,13,8,14
2015-11-01,75,62,13,9,15
2015-11-08,72,64,14,8,15
2015-11-15,64,69,15,11,14
2015-11-22,55,68,13,11,15
