Catégorie : Toutes catégories

Semaine,flu: (Californie),sinusitis: (Californie),stomach flu: (Californie),fatigue: (Californie),diarrhea: (Californie)
2014-10-26,72,3,6,15,34
2014-11-02,68,3,7,14,33
2014-11-09,63,3,7,17,33
2014-11-16,58,3,8,15,32
2014-11-23,46,2,8,12,32
2014-11-30,63,3,10,13,33
2014-12-07,58,3,8,12,32
2014-12-14,61,4,9,13,31
2014-12-21,75,3,13,11,35
2014-12-28,96,4,11,12,38
2015-01-04,100,4,12,14,35
2015-01-11,100,4,10,14,36
2015-01-18,96,4,10,15,37
2015-01-25,84,4,11,15,37
2015-02-01,73,4,9,14,33
2015-02-08,60,4,7,18,33
2015-02-15,59,4,9,16,36
2015-02-22,49,4,9,16,39
2015-03-01,49,4,10,16,40
2015-03-08,47,4,10,16,38
2015-03-15,42,4,10,17,41
2015-03-22,38,4,9,18,44
2015-03-29,38,4,10,16,44
2015-04-05,43,4,12,17,44
2015-04-12,47,4,10,15,43
2015-04-19,43,3,12,15,44
2015-04-26,38,3,11,16,40
2015-05-03,32,3,10,16,40
2015-05-10,31,4,9,15,42
2015-05-17,34,4,8,16,39
2015-05-24,33,3,7,15,39
2015-05-31,30,4,7,15,39
2015-06-07,26,3,6,16,37
2015-06-14,21,3,5,14,39
2015-06-21,20,3,5,15,40
2015-06-28,19,2,6,16,40
2015-07-05,19,3,5,16,40
2015-07-12,17,3,5,16,39
2015-07-19,19,2,4,16,39
2015-07-26,17,3,4,15,40
2015-08-02,19,2,5,15,40
2015-08-09,20,3,5,15,39
2015-08-16,20,3,5,15,39
2015-08-23,21,3,4,15,39
2015-08-30,30,3,5,15,37
2015-09-06,32,3,5,14,37
2015-09-13,47,3,6,15,35
2015-09-20,58,2,6,15,37
2015-09-27,71,3,6,15,36
2015-10-04,78,3,6,16,35
2015-10-11,76,3,6,15,35
2015-10-18,80,3,7,16,36
2015-10-25,64,3,7,15,35
2015-11-01,75,3,7,15,33
2015-11-08,72,3,8,15,35
2015-11-15,64,3,9,15,32
2015-11-22,55,3,12,12,37
