Catégorie : Toutes catégories

Semaine,flu: (Californie),feeling cold: (Californie),difficulty breathing: (Californie),sneezing: (Californie),dry cough: (Californie)
2014-10-26,72,0,0,5,3
2014-11-02,68,1,1,5,2
2014-11-09,63,1,1,6,2
2014-11-16,58,1,1,5,3
2014-11-23,46,1,1,5,3
2014-11-30,63,1,1,5,3
2014-12-07,58,1,1,5,3
2014-12-14,61,1,1,5,4
2014-12-21,75,1,1,5,4
2014-12-28,96,2,1,6,5
2015-01-04,100,1,1,6,5
2015-01-11,100,1,1,5,4
2015-01-18,96,1,1,6,4
2015-01-25,84,1,0,6,5
2015-02-01,73,1,1,6,5
2015-02-08,60,1,1,5,4
2015-02-15,59,1,1,6,4
2015-02-22,49,1,< 1,6,3
2015-03-01,49,1,1,6,4
2015-03-08,47,1,1,6,4
2015-03-15,42,1,1,5,3
2015-03-22,38,1,1,6,4
2015-03-29,38,1,1,5,4
2015-04-05,43,2,1,4,3
2015-04-12,47,1,1,6,4
2015-04-19,43,1,1,6,4
2015-04-26,38,1,1,6,3
2015-05-03,32,1,1,5,3
2015-05-10,31,1,1,6,3
2015-05-17,34,1,1,5,3
2015-05-24,33,1,< 1,5,3
2015-05-31,30,1,1,5,3
2015-06-07,26,1,0,5,3
2015-06-14,21,1,1,5,2
2015-06-21,20,1,1,4,3
2015-06-28,19,1,1,4,3
2015-07-05,19,1,1,4,2
2015-07-12,17,1,1,5,2
2015-07-19,19,1,1,4,2
2015-07-26,17,1,1,5,2
2015-08-02,19,0,1,6,2
2015-08-09,20,1,1,5,2
2015-08-16,20,1,1,5,2
2015-08-23,21,1,1,6,2
2015-08-30,30,1,1,5,2
2015-09-06,32,1,1,5,2
2015-09-13,47,1,1,5,2
2015-09-20,58,1,1,5,2
2015-09-27,71,1,1,5,2
2015-10-04,78,1,1,6,2
2015-10-11,76,1,1,6,3
2015-10-18,80,1,1,5,2
2015-10-25,64,1,1,5,2
2015-11-01,75,1,< 1,5,3
2015-11-08,72,1,1,6,3
2015-11-15,64,1,1,5,3
2015-11-22,55,1,1,5,4
