Catégorie : Toutes catégories

Semaine,flu: (Californie),difficulty sleeping: (Californie),vomiting: (Californie),abdominal pain: (Californie),influenza: (Californie)
2014-10-26,72,0,11,10,5
2014-11-02,68,0,12,9,4
2014-11-09,63,0,13,9,5
2014-11-16,58,0,12,9,4
2014-11-23,46,0,14,9,4
2014-11-30,63,0,13,9,6
2014-12-07,58,0,12,8,7
2014-12-14,61,0,14,9,7
2014-12-21,75,0,13,9,8
2014-12-28,96,0,15,9,8
2015-01-04,100,0,13,10,11
2015-01-11,100,0,14,9,13
2015-01-18,96,0,13,10,10
2015-01-25,84,0,14,9,11
2015-02-01,73,0,13,10,10
2015-02-08,60,0,12,9,8
2015-02-15,59,0,13,10,7
2015-02-22,49,0,15,9,6
2015-03-01,49,0,13,10,5
2015-03-08,47,0,15,10,6
2015-03-15,42,0,13,9,5
2015-03-22,38,0,16,10,4
2015-03-29,38,0,15,10,4
2015-04-05,43,0,16,10,5
2015-04-12,47,0,16,10,5
2015-04-19,43,0,16,10,4
2015-04-26,38,0,13,10,4
2015-05-03,32,0,14,9,4
2015-05-10,31,0,13,9,4
2015-05-17,34,0,13,10,4
2015-05-24,33,0,13,9,4
2015-05-31,30,0,13,9,3
2015-06-07,26,0,11,9,3
2015-06-14,21,0,12,10,2
2015-06-21,20,0,13,10,2
2015-06-28,19,0,11,9,2
2015-07-05,19,0,12,10,1
2015-07-12,17,0,12,10,1
2015-07-19,19,0,11,9,2
2015-07-26,17,0,11,10,1
2015-08-02,19,0,11,10,2
2015-08-09,20,0,11,9,2
2015-08-16,20,0,11,10,2
2015-08-23,21,0,11,9,2
2015-08-30,30,0,11,9,3
2015-09-06,32,0,11,9,2
2015-09-13,47,0,10,9,3
2015-09-20,58,0,11,10,4
2015-09-27,71,0,11,10,5
2015-10-04,78,0,11,9,5
2015-10-11,76,0,10,10,4
2015-10-18,80,0,11,10,4
2015-10-25,64,0,12,10,5
2015-11-01,75,0,13,10,4
2015-11-08,72,0,12,9,4
2015-11-15,64,0,13,10,4
2015-11-22,55,0,16,8,3
