Catégorie : Toutes catégories

Semaine,flu: (Californie),sore throat: (Californie),dyspnea: (Californie),rhinorrhea: (Californie),throwing up: (Californie)
2014-10-26,72,20,2,0,12
2014-11-02,68,25,2,0,10
2014-11-09,63,24,3,0,11
2014-11-16,58,24,2,0,10
2014-11-23,46,25,1,0,12
2014-11-30,63,24,2,0,10
2014-12-07,58,25,2,1,10
2014-12-14,61,29,2,0,11
2014-12-21,75,35,1,0,12
2014-12-28,96,37,1,0,14
2015-01-04,100,35,2,0,11
2015-01-11,100,30,3,0,11
2015-01-18,96,30,1,0,11
2015-01-25,84,32,2,0,11
2015-02-01,73,29,2,0,10
2015-02-08,60,30,3,1,11
2015-02-15,59,31,2,< 1,11
2015-02-22,49,29,2,0,10
2015-03-01,49,30,2,0,10
2015-03-08,47,33,2,0,11
2015-03-15,42,28,2,0,11
2015-03-22,38,28,2,0,12
2015-03-29,38,28,2,0,12
2015-04-05,43,25,2,0,11
2015-04-12,47,25,2,0,13
2015-04-19,43,25,2,0,12
2015-04-26,38,26,2,0,11
2015-05-03,32,25,2,0,11
2015-05-10,31,27,2,0,11
2015-05-17,34,27,2,0,12
2015-05-24,33,26,2,0,11
2015-05-31,30,25,2,0,10
2015-06-07,26,24,1,0,10
2015-06-14,21,22,2,0,10
2015-06-21,20,22,1,0,9
2015-06-28,19,19,2,0,11
2015-07-05,19,19,2,0,10
2015-07-12,17,19,2,0,10
2015-07-19,19,18,2,0,11
2015-07-26,17,18,2,0,10
2015-08-02,19,17,2,0,10
2015-08-09,20,18,2,0,11
2015-08-16,20,19,2,0,9
2015-08-23,21,21,2,0,10
2015-08-30,30,22,2,0,9
2015-09-06,32,24,2,0,10
2015-09-13,47,20,2,0,10
2015-09-20,58,23,2,0,10
2015-09-27,71,19,2,0,9
2015-10-04,78,19,2,1,9
2015-10-11,76,19,2,0,11
2015-10-18,80,19,2,0,11
2015-10-25,64,21,2,0,14
2015-11-01,75,22,2,0,10
2015-11-08,72,24,2,0,11
2015-11-15,64,25,2,0,11
2015-11-22,55,28,2,0,14
