Catégorie : Toutes catégories

Semaine,flu: (Californie),hygiene: (Californie),social distancing: (Californie),drug use: (Californie),runny nose: (Californie)
2014-10-26,72,7,0,5,5
2014-11-02,68,7,0,5,5
2014-11-09,63,6,0,5,4
2014-11-16,58,7,0,5,5
2014-11-23,46,5,0,5,5
2014-11-30,63,6,0,5,4
2014-12-07,58,6,0,6,4
2014-12-14,61,5,0,4,5
2014-12-21,75,4,0,4,8
2014-12-28,96,5,0,2,9
2015-01-04,100,6,0,4,8
2015-01-11,100,7,0,4,6
2015-01-18,96,6,0,5,7
2015-01-25,84,7,0,4,8
2015-02-01,73,6,0,6,7
2015-02-08,60,6,0,5,7
2015-02-15,59,6,1,5,6
2015-02-22,49,6,0,4,6
2015-03-01,49,7,0,5,5
2015-03-08,47,6,0,5,7
2015-03-15,42,6,0,5,6
2015-03-22,38,6,0,5,5
2015-03-29,38,6,0,4,5
2015-04-05,43,6,0,5,5
2015-04-12,47,6,0,5,5
2015-04-19,43,7,0,6,5
2015-04-26,38,6,0,5,6
2015-05-03,32,7,0,5,4
2015-05-10,31,7,0,6,5
2015-05-17,34,7,0,5,4
2015-05-24,33,5,0,4,5
2015-05-31,30,6,0,5,4
2015-06-07,26,6,0,4,3
2015-06-14,21,7,0,5,4
2015-06-21,20,6,0,4,3
2015-06-28,19,6,0,4,3
2015-07-05,19,6,0,4,3
2015-07-12,17,6,0,4,2
2015-07-19,19,5,0,4,3
2015-07-26,17,6,0,5,3
2015-08-02,19,6,0,4,3
2015-08-09,20,7,0,4,4
2015-08-16,20,6,0,4,4
2015-08-23,21,6,0,4,5
2015-08-30,30,7,0,4,6
2015-09-06,32,6,0,4,6
2015-09-13,47,6,0,5,5
2015-09-20,58,7,0,4,5
2015-09-27,71,7,0,5,4
2015-10-04,78,6,0,5,5
2015-10-11,76,6,0,6,5
2015-10-18,80,6,0,5,4
2015-10-25,64,6,0,6,5
2015-11-01,75,6,0,5,5
2015-11-08,72,7,0,5,6
2015-11-15,64,6,0,6,5
2015-11-22,55,5,0,4,6
