Catégorie : Toutes catégories

Semaine,flu: (Californie),chest pain: (Californie),arthralgia: (Californie),fainting: (Californie),pass out: (Californie)
2014-10-26,72,12,1,2,4
2014-11-02,68,11,< 1,3,3
2014-11-09,63,13,1,3,4
2014-11-16,58,13,0,3,3
2014-11-23,46,11,0,2,3
2014-11-30,63,12,0,3,4
2014-12-07,58,13,1,3,3
2014-12-14,61,12,0,3,4
2014-12-21,75,13,0,3,4
2014-12-28,96,14,0,2,3
2015-01-04,100,15,1,3,4
2015-01-11,100,14,0,4,3
2015-01-18,96,15,1,3,4
2015-01-25,84,15,1,3,4
2015-02-01,73,14,1,3,3
2015-02-08,60,14,1,3,4
2015-02-15,59,14,1,3,3
2015-02-22,49,15,< 1,3,4
2015-03-01,49,14,1,3,4
2015-03-08,47,14,1,3,4
2015-03-15,42,14,1,3,4
2015-03-22,38,13,1,3,4
2015-03-29,38,13,1,3,3
2015-04-05,43,14,< 1,3,4
2015-04-12,47,14,0,3,4
2015-04-19,43,14,< 1,3,3
2015-04-26,38,13,0,3,4
2015-05-03,32,13,1,2,4
2015-05-10,31,14,0,3,4
2015-05-17,34,13,0,3,4
2015-05-24,33,13,< 1,3,3
2015-05-31,30,13,1,3,4
2015-06-07,26,15,1,3,4
2015-06-14,21,14,0,3,4
2015-06-21,20,14,< 1,3,4
2015-06-28,19,13,0,2,3
2015-07-05,19,13,0,3,4
2015-07-12,17,13,< 1,3,4
2015-07-19,19,12,0,3,4
2015-07-26,17,12,0,3,4
2015-08-02,19,12,1,3,4
2015-08-09,20,13,1,4,4
2015-08-16,20,13,1,3,3
2015-08-23,21,14,1,3,4
2015-08-30,30,13,1,3,4
2015-09-06,32,13,1,2,4
2015-09-13,47,14,1,4,4
2015-09-20,58,13,1,3,3
2015-09-27,71,14,1,3,4
2015-10-04,78,13,0,3,4
2015-10-11,76,13,1,3,4
2015-10-18,80,14,1,2,3
2015-10-25,64,14,1,2,4
2015-11-01,75,13,1,2,3
2015-11-08,72,13,0,3,4
2015-11-15,64,13,0,2,4
2015-11-22,55,12,0,3,4
