Catégorie : Toutes catégories

Semaine,flu: (Californie),bronchitis: (Californie),pneumonia: (Californie),flu symptoms: (Californie),headache: (Californie)
2014-10-26,72,9,18,7,31
2014-11-02,68,11,18,8,31
2014-11-09,63,11,21,8,33
2014-11-16,58,13,21,8,33
2014-11-23,46,13,19,7,32
2014-11-30,63,14,21,9,30
2014-12-07,58,15,23,9,31
2014-12-14,61,15,22,11,32
2014-12-21,75,18,28,15,33
2014-12-28,96,21,32,19,35
2015-01-04,100,24,35,22,38
2015-01-11,100,19,32,20,37
2015-01-18,96,20,34,20,36
2015-01-25,84,20,34,19,38
2015-02-01,73,21,33,16,37
2015-02-08,60,18,31,11,34
2015-02-15,59,17,29,12,35
2015-02-22,49,17,27,9,35
2015-03-01,49,15,26,9,31
2015-03-08,47,17,27,8,34
2015-03-15,42,17,26,7,30
2015-03-22,38,17,27,8,33
2015-03-29,38,14,23,7,33
2015-04-05,43,15,25,7,33
2015-04-12,47,13,23,9,32
2015-04-19,43,13,21,8,35
2015-04-26,38,13,21,7,35
2015-05-03,32,13,21,5,30
2015-05-10,31,14,22,5,33
2015-05-17,34,12,19,5,33
2015-05-24,33,11,18,5,33
2015-05-31,30,11,18,4,37
2015-06-07,26,11,17,4,34
2015-06-14,21,10,18,3,35
2015-06-21,20,8,15,4,36
2015-06-28,19,7,15,3,31
2015-07-05,19,9,16,3,31
2015-07-12,17,7,14,3,33
2015-07-19,19,7,16,3,35
2015-07-26,17,7,14,3,32
2015-08-02,19,7,14,3,33
2015-08-09,20,7,14,4,32
2015-08-16,20,8,14,3,32
2015-08-23,21,7,15,3,33
2015-08-30,30,8,16,4,34
2015-09-06,32,8,17,4,32
2015-09-13,47,10,17,5,31
2015-09-20,58,9,17,5,31
2015-09-27,71,11,17,6,32
2015-10-04,78,10,18,6,34
2015-10-11,76,10,18,6,35
2015-10-18,80,10,20,6,34
2015-10-25,64,10,19,7,33
2015-11-01,75,12,22,8,35
2015-11-08,72,13,24,8,32
2015-11-15,64,15,23,8,33
2015-11-22,55,13,20,8,33
